"From","To","freq"
"Veracruz","Caucedo",7
"Veracruz","Cristobal",41
"Veracruz","FreeportBHS",4
"Veracruz","Houston",7
"Veracruz","KingstonJAM",112
"Veracruz","Puerto_Cortes",4
"Veracruz","Puerto_Limon",1
"Veracruz","Santo_Tomas_de_Castilla",20
"Veracruz","Veracruz",7
"Vila_do_Conde","Coco_Solo",2
"Vitoria","Itajai",3
"Vitoria","Navegantes",15
"Vitoria","Paranagua",25
"Vitoria","Paranagua_Anch",12
"Vitoria","Rio_de_Janeiro",2
"Vitoria","Rio_GrandeBRA",23
"Vitoria","Salvador",5
"Vitoria","Santos",1
"Vitoria","Santos_Anch",3
"Vostochnyy","Coco_Solo",1
"Vostochnyy","Hong_Kong",2
"Vostochnyy","Kozmino",3
"Vostochnyy","Mawan",1
"Vostochnyy","Nakhodka",2
"Vostochnyy","Xiamen",41
"Vostochnyy","Xiamen_Anch",7
"Vostochnyy","Zhangzhou",6
"WilmingtonDE_USA","Gulfport",10
"WilmingtonDE_USA","Puerto_Barrios",15
"Xiamen","Hong_Kong",57
"Xiamen","Yangshan",35
"Xiamen","Yantian",46
"Xiamen_Anch","Xiamen",8
"Xingang","Jinzhou",1
"Yangshan","Busan",134
"Yangshan","Shanghai",1
"Yantian","Balboa",9
"Yantian","Coco_Solo",9
"Yantian","Taboguilla_Is_Anch",8
"Yingkou","Nansha",1
"Yokohama","Osaka",1
"Zhangzhou","Hong_Kong",2
"Zhangzhou","Xiamen",4
"Zhoushan","Vostochnyy",4
"Zhoushan","Xiamen",2
"Zhoushan","Zhoushan",3
