"prob.shore","prob.ship","prob.est","nstops","prob.surv","onshore","onship","containers","shore","shorestopM","shorestopSD","rmshoreS","rmshoreM","rmshoreSD","transferS","transferM","transferSD","rmtransS","rmtransM","rmtransSD","dierouteS","dierouteM","dierouteSD","establishS","establishM","establishSD"
0.5,0.5,0.5,1,0.9,0,0,100,45,0.64,0.482418151324422,0,0,0,19,0.19,0.394277244403663,0,0,0,10,0.1,0.301511344577764,26,0.26,0.440844002276808
0.5,0.5,0.5,2,0.9,0,0,100,59,0.93,0.517472489875334,0,0,0,24,0.24,0.429234695990928,0,0,0,14,0.14,0.348735088019777,42,0.42,0.496044963748858
0.5,0.5,0.5,3,0.9,0,0,100,63,1.14,0.710953265309715,0,0,0,24,0.24,0.429234695990928,0,0,0,12,0.12,0.383497988352882,49,0.49,0.502418393795691
0.5,0.5,0.5,4,0.9,0,0,100,61,1.12,0.590839156700797,0,0,0,29,0.29,0.456048021572069,0,0,0,12,0.12,0.477366513151884,48,0.48,0.502116731568678
0.5,0.5,0.5,5,0.9,0,0,100,61,1.06,0.632774873398147,0,0,0,25,0.25,0.435194139889245,0,0,0,17,0.17,0.450700913168936,38,0.38,0.487831731214563
0.5,0.5,0.5,6,0.9,0,0,100,57,1.09,0.637149586800145,0,0,0,31,0.31,0.464823198711732,0,0,0,18,0.18,0.575246982529323,39,0.39,0.490207130000197
0.5,0.5,0.5,7,0.9,0,0,100,63,1.12,0.670895677509559,0,0,0,26,0.26,0.440844002276808,0,0,0,15,0.15,0.457816513022367,47,0.47,0.501613558046592
0.5,0.5,0.5,8,0.9,0,0,100,55,1.18,0.701801433829579,0,0,0,35,0.35,0.479372485441102,0,0,0,12,0.12,0.408989886516436,55,0.55,0.5
0.5,0.5,0.5,9,0.9,0,0,100,67,1.36,0.870620352380874,0,0,0,24,0.24,0.429234695990928,0,0,0,15,0.15,0.575159178669767,42,0.42,0.496044963748858
0.5,0.5,0.5,10,0.9,0,0,100,50,1.11,0.70917507917953,0,0,0,36,0.36,0.482418151324422,0,0,0,14,0.14,0.348735088019777,42,0.42,0.496044963748858
0.5,0.5,0.5,1,0.9,0.2,0,100,49,0.73,0.446196043338474,7,0.07,0.256432399976243,24,0.24,0.429234695990928,0,0,0,7,0.07,0.256432399976243,33,0.33,0.472581562625261
0.5,0.5,0.5,2,0.9,0.2,0,100,50,0.89,0.584220105194208,11,0.11,0.31446603773522,27,0.27,0.446196043338474,0,0,0,22,0.22,0.504124403437697,28,0.28,0.451260859854213
0.5,0.5,0.5,3,0.9,0.2,0,100,60,1.21,0.686007332764061,16,0.16,0.368452949177471,30,0.3,0.460566186471838,0,0,0,12,0.12,0.408989886516436,36,0.36,0.482418151324422
0.5,0.5,0.5,4,0.9,0.2,0,100,58,1.04,0.6654534415181,6,0.06,0.238683256575942,25,0.25,0.435194139889245,0,0,0,19,0.19,0.464823198711732,38,0.38,0.487831731214563
0.5,0.5,0.5,5,0.9,0.2,0,100,63,1.15,0.79613967608604,12,0.12,0.32659863237109,22,0.22,0.416333199893227,0,0,0,19,0.19,0.486068540704525,30,0.3,0.460566186471838
0.5,0.5,0.5,6,0.9,0.2,0,100,57,1.13,0.705748402818461,10,0.1,0.301511344577764,32,0.32,0.468826172262151,0,0,0,13,0.13,0.393251147037697,43,0.43,0.497569851956243
