"prob.shore","prob.ship","prob.est","nstops","prob.surv","onshore","onship","containers","shore","shorestopM","shorestopSD","rmshoreS","rmshoreM","rmshoreSD","transferS","transferM","transferSD","rmtransS","rmtransM","rmtransSD","dierouteS","dierouteM","dierouteSD","establishS","establishM","establishSD"
0,0,0.5,1,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.1,0,0.5,1,0.5,0,0,100,5,0.0500000000000001,0.21904291355759,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.2,0,0.5,1,0.5,0,0,100,12,0.12,0.32659863237109,0,0,0,0,0,0,0,0,0,100,1,0,5,0.0500000000000001,0.21904291355759
0.3,0,0.5,1,0.5,0,0,100,16,0.16,0.368452949177471,0,0,0,0,0,0,0,0,0,100,1,0,9,0.0900000000000001,0.287623491264661
0.4,0,0.5,1,0.5,0,0,100,27,0.27,0.446196043338474,0,0,0,0,0,0,0,0,0,100,1,0,5,0.0500000000000001,0.21904291355759
0.5,0,0.5,1,0.5,0,0,100,20,0.2,0.402015126103685,0,0,0,0,0,0,0,0,0,100,1,0,8,0.08,0.272659924344291
0.6,0,0.5,1,0.5,0,0,100,23,0.23,0.422952584681651,0,0,0,0,0,0,0,0,0,100,1,0,10,0.1,0.301511344577764
0.7,0,0.5,1,0.5,0,0,100,31,0.31,0.464823198711732,0,0,0,0,0,0,0,0,0,100,1,0,11,0.11,0.31446603773522
0.8,0,0.5,1,0.5,0,0,100,38,0.38,0.487831731214563,0,0,0,0,0,0,0,0,0,100,1,0,15,0.15,0.358870281282637
0.9,0,0.5,1,0.5,0,0,100,40,0.4,0.492365963917331,0,0,0,0,0,0,0,0,0,100,1,0,22,0.22,0.416333199893226
1,0,0.5,1,0.5,0,0,100,48,0.48,0.502116731568678,0,0,0,0,0,0,0,0,0,100,1,0,17,0.17,0.377525168068637
0,0,0.5,2,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.1,0,0.5,2,0.5,0,0,100,7,0.08,0.307482445914323,0,0,0,0,0,0,0,0,0,129,1.29,0.456048021572069,3,0.03,0.171446607997765
0.2,0,0.5,2,0.5,0,0,100,18,0.22,0.504124403437697,0,0,0,0,0,0,0,0,0,119,1.19,0.394277244403662,10,0.1,0.301511344577764
0.3,0,0.5,2,0.5,0,0,100,20,0.24,0.514830559553826,0,0,0,0,0,0,0,0,0,116,1.16,0.368452949177471,8,0.08,0.272659924344291
0.4,0,0.5,2,0.5,0,0,100,28,0.31,0.525991127935317,0,0,0,0,0,0,0,0,0,118,1.18,0.386122919665369,14,0.14,0.348735088019777
0.5,0,0.5,2,0.5,0,0,100,32,0.37,0.580055727033745,0,0,0,0,0,0,0,0,0,110,1.1,0.301511344577764,15,0.15,0.358870281282637
0.6,0,0.5,2,0.5,0,0,100,37,0.44,0.624742371144323,0,0,0,0,0,0,0,0,0,112,1.12,0.32659863237109,13,0.13,0.337997668989631
0.7,0,0.5,2,0.5,0,0,100,39,0.48,0.65874076383612,0,0,0,0,0,0,0,0,0,109,1.09,0.287623491264661,15,0.15,0.358870281282636
0.8,0,0.5,2,0.5,0,0,100,56,0.59,0.552222323842033,0,0,0,0,0,0,0,0,0,102,1.02,0.14070529413629,24,0.24,0.429234695990928
0.9,0,0.5,2,0.5,0,0,100,44,0.44,0.498887651569859,0,0,0,0,0,0,0,0,0,101,1.01,0.1,17,0.17,0.377525168068637
1,0,0.5,2,0.5,0,0,100,46,0.459999999999999,0.500908265962033,0,0,0,0,0,0,0,0,0,100,1,0,20,0.2,0.402015126103685
0,0,0.5,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.1,0,0.5,3,0.5,0,0,100,5,0.1,0.460566186471838,0,0,0,0,0,0,0,0,0,143,1.43,0.65528157260367,3,0.03,0.171446607997765
0.2,0,0.5,3,0.5,0,0,100,21,0.28,0.587409997404288,0,0,0,0,0,0,0,0,0,134,1.34,0.63912819409321,8,0.08,0.272659924344291
0.3,0,0.5,3,0.5,0,0,100,16,0.21,0.555868598672293,0,0,0,0,0,0,0,0,0,130,1.3,0.611340636419152,8,0.08,0.272659924344291
0.4,0,0.5,3,0.5,0,0,100,30,0.45,0.770346898114313,0,0,0,0,0,0,0,0,0,123,1.23,0.489382212074519,13,0.13,0.337997668989631
0.5,0,0.5,3,0.5,0,0,100,27,0.37,0.705748402818461,0,0,0,0,0,0,0,0,0,123,1.23,0.509604719068583,9,0.09,0.287623491264661
0.6,0,0.5,3,0.5,0,0,100,36,0.44,0.640706680552849,0,0,0,0,0,0,0,0,0,111,1.11,0.399368187885502,14,0.14,0.348735088019777
0.7,0,0.5,3,0.5,0,0,100,39,0.45,0.609271795844942,0,0,0,0,0,0,0,0,0,106,1.06,0.277797979063414,18,0.18,0.386122919665369
0.8,0,0.5,3,0.5,0,0,100,40,0.509999999999999,0.717670192393766,0,0,0,0,0,0,0,0,0,106,1.06,0.238683256575942,15,0.15,0.358870281282637
0.9,0,0.5,3,0.5,0,0,100,49,0.52,0.559220236335625,0,0,0,0,0,0,0,0,0,104,1.04,0.196946385566932,19,0.19,0.394277244403663
1,0,0.5,3,0.5,0,0,100,39,0.39,0.490207130000197,0,0,0,0,0,0,0,0,0,100,1,0,19,0.19,0.394277244403663
0,0,0.5,4,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.1,0,0.5,4,0.5,0,0,100,7,0.16,0.646982116125213,0,0,0,0,0,0,0,0,0,150,1.5,0.758786910639328,2,0.02,0.14070529413629
0.2,0,0.5,4,0.5,0,0,100,15,0.22,0.595945899517326,0,0,0,0,0,0,0,0,0,141,1.41,0.71201804539611,3,0.03,0.171446607997765
0.3,0,0.5,4,0.5,0,0,100,27,0.44,0.844710218675821,0,0,0,0,0,0,0,0,0,128,1.28,0.569954809479212,16,0.16,0.368452949177471
0.4,0,0.5,4,0.5,0,0,100,30,0.4,0.681649810860727,0,0,0,0,0,0,0,0,0,121,1.21,0.518252697615612,8,0.08,0.272659924344291
0.5,0,0.5,4,0.5,0,0,100,26,0.37,0.705748402818461,0,0,0,0,0,0,0,0,0,114,1.14,0.348735088019777,12,0.12,0.32659863237109
0.6,0,0.5,4,0.5,0,0,100,38,0.43,0.607279078174013,0,0,0,0,0,0,0,0,0,113,1.13,0.393251147037697,21,0.21,0.409360180740332
0.7,0,0.5,4,0.5,0,0,100,49,0.57,0.639681107421439,0,0,0,0,0,0,0,0,0,107,1.07,0.293188669562103,28,0.28,0.451260859854213
0.8,0,0.5,4,0.5,0,0,100,37,0.42,0.589127072091164,0,0,0,0,0,0,0,0,0,110,1.1,0.301511344577764,20,0.2,0.402015126103685
0.9,0,0.5,4,0.5,0,0,100,43,0.43,0.497569851956243,0,0,0,0,0,0,0,0,0,103,1.03,0.171446607997765,13,0.13,0.337997668989631
1,0,0.5,4,0.5,0,0,100,50,0.5,0.502518907629606,0,0,0,0,0,0,0,0,0,100,1,0,24,0.24,0.429234695990928
0,0,0.5,5,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.1,0,0.5,5,0.5,0,0,100,10,0.13,0.418148878808116,0,0,0,0,0,0,0,0,0,138,1.38,0.647918189124198,4,0.04,0.196946385566932
0.2,0,0.5,5,0.5,0,0,100,14,0.17,0.450700913168936,0,0,0,0,0,0,0,0,0,132,1.32,0.566399223876658,7,0.07,0.256432399976243
0.3,0,0.5,5,0.5,0,0,100,17,0.23,0.547814758929522,0,0,0,0,0,0,0,0,0,130,1.3,0.559581373109678,8,0.08,0.272659924344291
0.4,0,0.5,5,0.5,0,0,100,35,0.45,0.672324476737387,0,0,0,0,0,0,0,0,0,121,1.21,0.433333333333333,11,0.11,0.31446603773522
0.5,0,0.5,5,0.5,0,0,100,39,0.51,0.758720347464444,0,0,0,0,0,0,0,0,0,119,1.19,0.486068540704525,16,0.16,0.368452949177471
0.6,0,0.5,5,0.5,0,0,100,41,0.47,0.61059666133077,0,0,0,0,0,0,0,0,0,114,1.14,0.402517331328978,20,0.2,0.402015126103685
0.7,0,0.5,5,0.5,0,0,100,36,0.38,0.527620922996651,0,0,0,0,0,0,0,0,0,112,1.12,0.356186309210063,13,0.13,0.337997668989631
0.8,0,0.5,5,0.5,0,0,100,42,0.47,0.593823427145025,0,0,0,0,0,0,0,0,0,108,1.08,0.272659924344291,21,0.21,0.409360180740332
0.9,0,0.5,5,0.5,0,0,100,45,0.47,0.540388935878781,0,0,0,0,0,0,0,0,0,100,1,0,18,0.18,0.386122919665369
1,0,0.5,5,0.5,0,0,100,55,0.55,0.5,0,0,0,0,0,0,0,0,0,100,1,0,18,0.18,0.386122919665369
0,0,0.5,6,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.1,0,0.5,6,0.5,0,0,100,7,0.07,0.256432399976243,0,0,0,0,0,0,0,0,0,127,1.27,0.446196043338474,3,0.03,0.171446607997765
0.2,0,0.5,6,0.5,0,0,100,22,0.35,0.78334945180064,0,0,0,0,0,0,0,0,0,143,1.43,0.901793947214287,9,0.09,0.287623491264661
0.3,0,0.5,6,0.5,0,0,100,17,0.29,0.728843001758349,0,0,0,0,0,0,0,0,0,148,1.48,0.7974707492815,7,0.07,0.256432399976243
0.4,0,0.5,6,0.5,0,0,100,36,0.43,0.623690547459154,0,0,0,0,0,0,0,0,0,117,1.17,0.427702341505507,15,0.15,0.358870281282637
0.5,0,0.5,6,0.5,0,0,100,33,0.459999999999999,0.73057331852277,0,0,0,0,0,0,0,0,0,128,1.28,0.620849857416868,12,0.12,0.32659863237109
0.6,0,0.5,6,0.5,0,0,100,32,0.41,0.683056115239192,0,0,0,0,0,0,0,0,0,117,1.17,0.450700913168936,14,0.14,0.348735088019777
0.7,0,0.5,6,0.5,0,0,100,40,0.459999999999999,0.610017386736814,0,0,0,0,0,0,0,0,0,112,1.12,0.32659863237109,18,0.18,0.386122919665369
0.8,0,0.5,6,0.5,0,0,100,49,0.58,0.654124443725189,0,0,0,0,0,0,0,0,0,113,1.13,0.366666666666667,17,0.17,0.377525168068637
0.9,0,0.5,6,0.5,0,0,100,42,0.48,0.611010092660779,0,0,0,0,0,0,0,0,0,105,1.05,0.21904291355759,20,0.2,0.402015126103685
1,0,0.5,6,0.5,0,0,100,42,0.42,0.496044963748858,0,0,0,0,0,0,0,0,0,100,1,0,20,0.2,0.402015126103685
0,0,0.5,7,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.1,0,0.5,7,0.5,0,0,100,16,0.23,0.600588936550675,0,0,0,0,0,0,0,0,0,162,1.62,0.850193085615428,8,0.08,0.272659924344291
0.2,0,0.5,7,0.5,0,0,100,14,0.23,0.649086382011771,0,0,0,0,0,0,0,0,0,151,1.51,0.846800275785682,3,0.03,0.171446607997765
0.3,0,0.5,7,0.5,0,0,100,18,0.29,0.71484970518991,0,0,0,0,0,0,0,0,0,141,1.41,0.726065917924618,9,0.0900000000000001,0.287623491264661
0.4,0,0.5,7,0.5,0,0,100,29,0.36,0.627967701672175,0,0,0,0,0,0,0,0,0,118,1.18,0.479477830456206,14,0.14,0.348735088019777
0.5,0,0.5,7,0.5,0,0,100,43,0.540000000000001,0.716613810594907,0,0,0,0,0,0,0,0,0,115,1.15,0.479372485441102,19,0.19,0.394277244403662
0.6,0,0.5,7,0.5,0,0,100,33,0.42,0.684311937849128,0,0,0,0,0,0,0,0,0,120,1.2,0.53181602347831,17,0.17,0.377525168068637
0.7,0,0.5,7,0.5,0,0,100,39,0.41,0.533617348619284,0,0,0,0,0,0,0,0,0,109,1.09,0.320825954263823,15,0.15,0.358870281282636
0.8,0,0.5,7,0.5,0,0,100,34,0.36,0.52261966393479,0,0,0,0,0,0,0,0,0,112,1.12,0.356186309210063,15,0.15,0.358870281282636
0.9,0,0.5,7,0.5,0,0,100,44,0.45,0.519809599951771,0,0,0,0,0,0,0,0,0,102,1.02,0.14070529413629,21,0.21,0.409360180740332
1,0,0.5,7,0.5,0,0,100,55,0.55,0.5,0,0,0,0,0,0,0,0,0,100,1,0,19,0.19,0.394277244403662
0,0,0.5,8,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.1,0,0.5,8,0.5,0,0,100,10,0.2,0.681649810860727,0,0,0,0,0,0,0,0,0,169,1.69,0.981598366713878,4,0.04,0.196946385566932
0.2,0,0.5,8,0.5,0,0,100,15,0.22,0.578748213776505,0,0,0,0,0,0,0,0,0,149,1.49,0.810225059143845,7,0.07,0.256432399976243
