"port","lat","lon"
"Saltpan_Anch",51.511076,0.49634
"Salvador",-12.93997,-38.4939
"Salvador_Anch",-12.93997,-38.4939
"San_AntonioCHL",-33.591375,-71.613967
"San_JuanPRI",18.45175,-66.081406
"San_Vicente",-36.727811,-73.135843
"Santa_Marta",11.24297,-74.212365
"Santo_Domingo",18.482914,-69.892861
"Santo_Tomas_de_Castilla",15.69444,-88.616465
"Santos",-23.92767,-46.3069
"Santos_Anch",-23.92767,-46.3069
"Savannah",32.02353,-81.0558
"Sepetiba",-22.972896,-43.697734
"Shanghai",31.23793,121.4883
"Sheerness",51.439435,0.762545
"Sines",37.94953,-8.8628
"Singapore",1.329314,103.874519
"Suape",-8.39767,-34.9578
"Subic_Bay",14.795913,120.295661
"Taboguilla_Is_Anch",8.806854,-79.521678
"Tampa",27.947791,-82.459784
"Tangier_Mediterranee",35.777932,-5.805258
"Texas_City",29.375038,-94.90677
"Thamesport",51.390029,0.532787
"Tilbury",51.45453,0.3589
"Tubarao_Anch",-28.484951,-49.013904
"Turbo",8.08929,-76.73191
"Valencia",39.45913,-0.323
"Valletta",35.900411,14.515717
"Veracruz",19.20223,-96.1242
"Vila_do_Conde",41.351512,-8.744269
"Vitoria",-20.32817,-40.3459
"Vostochnyy",42.73059,133.084255
"WilmingtonDE_USA",39.738061,-75.539481
"Xiamen",24.44993,118.0769
"Xiamen_Anch",24.44993,118.0769
"Xingang",38.9906,117.72135
"Yangshan",30.055606,120.759833
"Yantian",22.57643,114.2607
"Yingkou",40.68923,122.2701
"Yokohama",35.42804,139.67341
"Zhangzhou",24.40953,118.0299
"Zhoushan",30.00693,122.0987
