CITY,latitude,longitude,Aegypti,Alb,AegyptiAlb
Sepetiba,-22.972896,-43.697734,1,1,2
Singapore,1.329314,103.874519,1,1,2
Suape,-8.39767,-34.9578,1,1,2
Subic_Bay,14.795913,120.295661,1,1,2
Taboguilla_Is_Anch,8.806854,-79.521678,1,1,2
Tampa,27.947791,-82.459784,1,1,2
Texas_City,29.375038,-94.90677,1,1,2
Tubarao_Anch,-28.484951,-49.013904,1,1,2
Turbo,8.08929,-76.73191,1,1,2
Veracruz,19.20223,-96.1242,1,1,2
Vitoria,-20.32817,-40.3459,1,1,2
Xiamen,24.44993,118.0769,1,1,2
Xiamen_Anch,24.44993,118.0769,1,1,2
Yantian,22.57643,114.2607,1,1,2
Yokohama,35.42804,139.67341,1,1,2
Zhangzhou,24.40953,118.0299,1,1,2
