"prob.shore","prob.ship","prob.est","nstops","prob.surv","prob.det","prob.sdet","containers","shore","shorestop","rmshore","transfer","rmtrans","dieroute","establish"
0.5,0.5,0.5,1,0.9,0,0,100,38,66,0,28,0,12,38
0.5,0.5,0.5,2,0.9,0,0,100,62,111,0,29,0,10,53
0.5,0.5,0.5,3,0.9,0,0,100,56,114,0,33,0,12,43
0.5,0.5,0.5,4,0.9,0,0,100,61,114,0,32,0,6,38
0.5,0.5,0.5,5,0.9,0,0,100,57,114,0,27,0,25,46
0.5,0.5,0.5,6,0.9,0,0,100,58,106,0,28,0,20,40
0.5,0.5,0.5,7,0.9,0,0,100,63,117,0,27,0,14,41
0.5,0.5,0.5,8,0.9,0,0,100,64,114,0,28,0,15,43
0.5,0.5,0.5,9,0.9,0,0,100,60,116,0,33,0,10,39
0.5,0.5,0.5,10,0.9,0,0,100,60,115,0,27,0,19,44
0.5,0.5,0.5,1,0.9,0.2,0,100,51,72,10,21,0,7,31
0.5,0.5,0.5,2,0.9,0.2,0,100,55,95,5,31,0,13,36
0.5,0.5,0.5,3,0.9,0.2,0,100,61,113,6,26,0,13,38
0.5,0.5,0.5,4,0.9,0.2,0,100,55,113,12,34,0,17,40
0.5,0.5,0.5,5,0.9,0.2,0,100,66,116,13,26,0,14,33
0.5,0.5,0.5,6,0.9,0.2,0,100,55,117,7,31,0,22,39
0.5,0.5,0.5,7,0.9,0.2,0,100,55,111,12,30,0,19,38
0.5,0.5,0.5,8,0.9,0.2,0,100,60,105,13,23,0,24,42
0.5,0.5,0.5,9,0.9,0.2,0,100,57,118,10,33,0,11,32
0.5,0.5,0.5,10,0.9,0.2,0,100,62,123,13,34,0,4,46
0.5,0.5,0.5,1,0.9,0.4,0,100,45,64,18,19,0,11,24
0.5,0.5,0.5,2,0.9,0.4,0,100,58,96,24,23,0,22,25
0.5,0.5,0.5,3,0.9,0.4,0,100,55,110,24,26,0,22,32
0.5,0.5,0.5,4,0.9,0.4,0,100,55,113,21,30,0,17,31
0.5,0.5,0.5,5,0.9,0.4,0,100,61,106,29,25,0,21,34
0.5,0.5,0.5,6,0.9,0.4,0,100,60,115,29,27,0,15,34
0.5,0.5,0.5,7,0.9,0.4,0,100,59,119,22,30,0,16,31
0.5,0.5,0.5,8,0.9,0.4,0,100,58,108,20,28,0,15,26
0.5,0.5,0.5,9,0.9,0.4,0,100,52,115,21,38,0,10,42
0.5,0.5,0.5,10,0.9,0.4,0,100,59,124,27,32,0,12,32
0.5,0.5,0.5,1,0.9,0.6,0,100,40,63,30,23,0,8,18
0.5,0.5,0.5,2,0.9,0.6,0,100,51,95,29,27,0,17,18
0.5,0.5,0.5,3,0.9,0.6,0,100,58,110,37,28,0,21,30
0.5,0.5,0.5,4,0.9,0.6,0,100,57,127,34,35,0,14,36
0.5,0.5,0.5,5,0.9,0.6,0,100,55,107,31,28,0,22,25
0.5,0.5,0.5,6,0.9,0.6,0,100,62,125,35,32,0,9,34
0.5,0.5,0.5,7,0.9,0.6,0,100,51,109,26,30,0,21,29
0.5,0.5,0.5,8,0.9,0.6,0,100,59,117,44,30,0,12,23
0.5,0.5,0.5,9,0.9,0.6,0,100,64,116,40,27,0,10,24
0.5,0.5,0.5,10,0.9,0.6,0,100,56,118,36,36,0,10,27
0.5,0.5,0.5,1,0.9,0.8,0,100,44,67,38,23,0,13,9
0.5,0.5,0.5,2,0.9,0.8,0,100,56,93,50,26,0,19,14
0.5,0.5,0.5,3,0.9,0.8,0,100,62,110,51,26,0,14,22
0.5,0.5,0.5,4,0.9,0.8,0,100,58,106,45,35,0,7,30
0.5,0.5,0.5,5,0.9,0.8,0,100,58,105,43,28,0,17,17
0.5,0.5,0.5,6,0.9,0.8,0,100,54,104,40,30,0,19,20
0.5,0.5,0.5,7,0.9,0.8,0,100,63,119,53,26,0,15,18
0.5,0.5,0.5,8,0.9,0.8,0,100,51,116,40,33,0,19,23
0.5,0.5,0.5,9,0.9,0.8,0,100,57,117,48,31,0,14,23
0.5,0.5,0.5,10,0.9,0.8,0,100,53,102,42,34,0,16,27
0.5,0.5,0.5,1,0.9,1,0,100,41,64,41,23,0,15,12
0.5,0.5,0.5,2,0.9,1,0,100,52,92,52,29,0,13,14
0.5,0.5,0.5,3,0.9,1,0,100,57,98,57,21,0,23,9
0.5,0.5,0.5,4,0.9,1,0,100,46,108,46,33,0,31,16
0.5,0.5,0.5,5,0.9,1,0,100,54,101,54,31,0,16,18
0.5,0.5,0.5,6,0.9,1,0,100,56,97,56,25,0,35,17
0.5,0.5,0.5,7,0.9,1,0,100,60,116,60,34,0,8,13
0.5,0.5,0.5,8,0.9,1,0,100,56,109,56,31,0,16,16
0.5,0.5,0.5,9,0.9,1,0,100,57,107,57,31,0,13,11
0.5,0.5,0.5,10,0.9,1,0,100,50,105,50,32,0,19,16
0.5,0.5,0.5,1,0.9,0,0.2,100,41,57,0,16,3,14,30
0.5,0.5,0.5,2,0.9,0,0.2,100,54,95,0,23,2,26,43
0.5,0.5,0.5,3,0.9,0,0.2,100,61,105,0,23,6,20,45
0.5,0.5,0.5,4,0.9,0,0.2,100,55,116,0,32,6,14,35
0.5,0.5,0.5,5,0.9,0,0.2,100,59,111,0,28,9,18,46
0.5,0.5,0.5,6,0.9,0,0.2,100,58,105,0,27,5,16,40
0.5,0.5,0.5,7,0.9,0,0.2,100,69,124,0,24,6,8,45
0.5,0.5,0.5,8,0.9,0,0.2,100,63,110,0,24,3,15,48
0.5,0.5,0.5,9,0.9,0,0.2,100,59,114,0,29,4,21,38
0.5,0.5,0.5,10,0.9,0,0.2,100,43,106,0,37,2,28,42
0.5,0.5,0.5,1,0.9,0.2,0.2,100,41,59,4,18,3,12,26
0.5,0.5,0.5,2,0.9,0.2,0.2,100,50,93,6,27,3,24,33
0.5,0.5,0.5,3,0.9,0.2,0.2,100,57,105,12,30,7,16,42
0.5,0.5,0.5,4,0.9,0.2,0.2,100,52,104,9,28,4,22,36
0.5,0.5,0.5,5,0.9,0.2,0.2,100,56,105,8,31,7,13,38
0.5,0.5,0.5,6,0.9,0.2,0.2,100,69,119,13,22,5,10,36
0.5,0.5,0.5,7,0.9,0.2,0.2,100,64,113,11,23,6,19,40
