"prob.shore","prob.ship","prob.est","nstops","prob.surv","onshore","onship","containers","shore","shorestopM","shorestopSD","rmshoreS","rmshoreM","rmshoreSD","transferS","transferM","transferSD","rmtransS","rmtransM","rmtransSD","dierouteS","dierouteM","dierouteSD","establishS","establishM","establishSD"
0.5,0.5,0.9,10,0.9,0,0,100,54,1.24,0.766995976705764,0,0,0,38,0.38,0.487831731214563,0,0,0,102,1.02,0.14070529413629,51,0.51,0.502418393795691
0.5,0.5,0.9,10,0.9,0.2,0,100,58,1.08,0.61430752671096,14,0.14,0.348735088019777,33,0.33,0.472581562625261,0,0,0,102,1.02,0.14070529413629,39,0.39,0.490207130000197
0.5,0.5,0.9,10,0.9,0.4,0,100,61,1.06,0.708106024133492,22,0.22,0.416333199893227,22,0.22,0.416333199893227,0,0,0,103,1.03,0.171446607997765,36,0.36,0.482418151324422
0.5,0.5,0.9,10,0.9,0.6,0,100,58,1.23,0.827006284099096,33,0.33,0.472581562625261,30,0.3,0.460566186471838,0,0,0,100,1,0,21,0.21,0.409360180740332
0.5,0.5,0.9,10,0.9,0.8,0,100,59,1.12,0.607694766550552,39,0.39,0.490207130000197,30,0.3,0.460566186471838,0,0,0,101,1.01,0.1,20,0.2,0.402015126103685
0.5,0.5,0.9,10,0.9,1,0,100,63,1.24,0.805536398239638,63,0.63,0.48523658709391,25,0.25,0.435194139889245,0,0,0,102,1.02,0.14070529413629,0,0,0
0.5,0.5,0.9,10,0.9,0,0.2,100,61,1.28,0.964836302648844,0,0,0,25,0.25,0.435194139889245,5,0.05,0.21904291355759,102,1.02,0.2,53,0.53,0.501613558046592
0.5,0.5,0.9,10,0.9,0.2,0.2,100,53,1.09,0.726065917924617,10,0.1,0.301511344577764,31,0.31,0.464823198711732,5,0.05,0.21904291355759,100,1,0,39,0.39,0.490207130000197
0.5,0.5,0.9,10,0.9,0.4,0.2,100,59,1.14,0.710953265309715,21,0.21,0.409360180740332,28,0.28,0.451260859854213,6,0.06,0.238683256575942,103,1.03,0.171446607997765,33,0.33,0.472581562625261
0.5,0.5,0.9,10,0.9,0.6,0.2,100,41,0.92,0.691652975403011,28,0.28,0.451260859854213,34,0.34,0.476095228569523,7,0.07,0.256432399976243,108,1.08,0.307482445914323,11,0.11,0.31446603773522
0.5,0.5,0.9,10,0.9,0.8,0.2,100,57,1.15,0.757121075675696,50,0.5,0.502518907629606,28,0.28,0.451260859854213,6,0.06,0.238683256575942,109,1.09,0.404395046378357,7,0.07,0.256432399976243
0.5,0.5,0.9,10,0.9,1,0.2,100,61,1.12,0.670895677509559,61,0.61,0.490207130000197,28,0.28,0.451260859854213,3,0.03,0.171446607997765,105,1.05,0.329523684408054,0,0,0
0.5,0.5,0.9,10,0.9,0,0.4,100,64,1.04,0.510891476744427,0,0,0,25,0.25,0.435194139889245,10,0.1,0.301511344577764,107,1.07,0.293188669562103,55,0.55,0.5
0.5,0.5,0.9,10,0.9,0.2,0.4,100,56,1.15,0.625630994607957,13,0.13,0.337997668989631,35,0.35,0.479372485441102,15,0.15,0.358870281282637,100,1,0,40,0.4,0.492365963917331
0.5,0.5,0.9,10,0.9,0.4,0.4,100,56,1.11,0.764027076573451,19,0.19,0.394277244403663,26,0.26,0.440844002276808,14,0.14,0.348735088019777,101,1.01,0.1,35,0.35,0.479372485441102
0.5,0.5,0.9,10,0.9,0.6,0.4,100,64,1.22,0.823640600252221,37,0.37,0.48523658709391,25,0.25,0.435194139889245,11,0.11,0.31446603773522,102,1.02,0.14070529413629,25,0.25,0.435194139889245
0.5,0.5,0.9,10,0.9,0.8,0.4,100,61,1.07,0.7,46,0.46,0.500908265962033,23,0.23,0.422952584681651,10,0.1,0.301511344577764,103,1.03,0.222701503353614,14,0.14,0.348735088019777
0.5,0.5,0.9,10,0.9,1,0.4,100,59,1.19,0.837203135988567,59,0.59,0.49431107042371,27,0.27,0.446196043338474,9,0.09,0.287623491264661,105,1.05,0.261116483933547,0,0,0
