"prob.shore","prob.ship","prob.est","nstops","prob.surv","onshore","onship","containers","shore","shorestopM","shorestopSD","rmshoreS","rmshoreM","rmshoreSD","transferS","transferM","transferSD","rmtransS","rmtransM","rmtransSD","dierouteS","dierouteM","dierouteSD","establishS","establishM","establishSD"
0.1,0,0.9,4,0.9,0,0,100,26,0.560000000000001,1.07609469749637,0,0,0,0,0,0,0,0,0,137,1.37,0.786951668968895,19,0.19,0.394277244403663
0.2,0,0.9,4,0.9,0,0,100,41,0.800000000000001,1.11916274621936,0,0,0,0,0,0,0,0,0,129,1.29,0.700576962801433,33,0.33,0.472581562625261
0.3,0,0.9,4,0.9,0,0,100,58,1.13,1.26853928563207,0,0,0,0,0,0,0,0,0,158,1.58,0.996762435856886,43,0.43,0.497569851956243
0.4,0,0.9,4,0.9,0,0,100,60,1.33,1.40025250248199,0,0,0,0,0,0,0,0,0,138,1.38,0.775639195513069,47,0.47,0.501613558046592
0.5,0,0.9,4,0.9,0,0,100,78,1.27,0.993463485473773,0,0,0,0,0,0,0,0,0,124,1.24,0.605029425780768,54,0.54,0.500908265962033
0.6,0,0.9,4,0.9,0,0,100,76,1.07,0.843932593411477,0,0,0,0,0,0,0,0,0,117,1.17,0.513553671720273,59,0.59,0.49431107042371
0.7,0,0.9,4,0.9,0,0,100,82,1.09,0.753376239057058,0,0,0,0,0,0,0,0,0,112,1.12,0.432983541805861,60,0.6,0.492365963917331
0.8,0,0.9,4,0.9,0,0,100,86,1.11,0.694785774701291,0,0,0,0,0,0,0,0,0,106,1.06,0.371184290855335,73,0.73,0.446196043338474
0.9,0,0.9,4,0.9,0,0,100,81,0.87,0.485236587093909,0,0,0,0,0,0,0,0,0,103,1.03,0.171446607997765,62,0.62,0.487831731214564
1,0,0.9,4,0.9,0,0,100,92,0.92,0.272659924344291,0,0,0,0,0,0,0,0,0,100,1,0,68,0.68,0.46882617226215
0,0,0.9,5,0.9,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.1,0,0.9,5,0.9,0,0,100,23,0.53,1.15867391984339,0,0,0,0,0,0,0,0,0,203,2.03,1.4664944802508,17,0.17,0.377525168068637
0.2,0,0.9,5,0.9,0,0,100,53,1.28,1.60856294482832,0,0,0,0,0,0,0,0,0,148,1.48,0.999797959387775,38,0.38,0.487831731214563
0.3,0,0.9,5,0.9,0,0,100,64,1.34,1.4086314011275,0,0,0,0,0,0,0,0,0,143,1.43,0.94553709818304,46,0.46,0.500908265962033
0.4,0,0.9,5,0.9,0,0,100,72,1.51,1.42485157830632,0,0,0,0,0,0,0,0,0,135,1.35,0.88048425610713,53,0.53,0.501613558046592
0.5,0,0.9,5,0.9,0,0,100,79,1.44,1.2170505828486,0,0,0,0,0,0,0,0,0,119,1.19,0.525991127935317,60,0.6,0.492365963917331
0.6,0,0.9,5,0.9,0,0,100,83,1.33,1.02548337949289,0,0,0,0,0,0,0,0,0,121,1.21,0.591095541679972,62,0.62,0.487831731214563
0.7,0,0.9,5,0.9,0,0,100,83,1.01,0.627565441877087,0,0,0,0,0,0,0,0,0,106,1.06,0.277797979063414,64,0.64,0.482418151324422
0.8,0,0.9,5,0.9,0,0,100,84,1,0.603022689155527,0,0,0,0,0,0,0,0,0,100,1,0,62,0.62,0.487831731214564
0.9,0,0.9,5,0.9,0,0,100,88,0.94,0.42211588240887,0,0,0,0,0,0,0,0,0,102,1.02,0.14070529413629,69,0.69,0.464823198711732
1,0,0.9,5,0.9,0,0,100,88,0.88,0.326598632371091,0,0,0,0,0,0,0,0,0,100,1,0,67,0.67,0.47258156262526
0,0,0.9,6,0.9,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.1,0,0.9,6,0.9,0,0,100,4,0.04,0.196946385566932,0,0,0,0,0,0,0,0,0,113,1.13,0.337997668989631,3,0.03,0.171446607997765
0.2,0,0.9,6,0.9,0,0,100,56,1.63,1.92093727122985,0,0,0,0,0,0,0,0,0,185,1.85,1.40974243653716,38,0.38,0.487831731214563
